Year,Month,Day,Activity,Time,cleaned_species
2019,May,17,Scuba diving,Not Specified,Tiger Shark
2019,May,14,Surfing,08:30 AM,Not Specified
2019,May,14,Body Surfing,04:21 PM,Not Specified
2018,May,9,Surfing,04:26 PM,Not Specified
2019,May,8,Swimming with sharks,09:00 AM,Not Specified
2019,May,7,Surfing,Not Specified,White Shark
2019,May,4,Fishing,Not Specified,Lemon Shark
2019,May,1,Fishing,06:45 PM,Not Specified
2019,April,23,Kayaking,08:30 AM,Tiger Shark
2019,April,21,Not Specified,05:30 PM,Not Specified
2019,April,12,Boogie boarding,05:45 PM,Not Specified
2019,April,6,Picking opihi,Not Specified,Tiger Shark
2019,April,6,Swimming,01:00 AM,Cookiecutter Shark
2019,April,5,Diving in shark tank,Not Specified,Tiger Shark
2019,March,26,Paddling an outrigger canoe,10:00 AM,Not Specified
2019,March,25,Swimming,12:30 PM,Grey Reef Shark
2019,March,22,Surfing,04:00 PM,Not Specified
2019,March,21,Swimming,05:30 PM,Not Specified
2019,March,16,Swimming,03:00 AM,Cookiecutter Shark
2019,March,12,Boogie boarding,02:00 PM,Spinner Shark
2019,March,5,Surfing,08:30 AM,Not Specified
2019,March,5,Fishing,04:00 PM,Not Specified
2018,February,18,Surfing,08:15 AM,Not Specified
2019,February,17,Surfing,06:40 AM,Not Specified
2019,February,14,Surfing,05:30 PM,Lemon Shark
2019,February,10,Spearfishing,Not Specified,Not Specified
2019,February,4,Surfing,01:40 PM,Tiger Shark
2019,February,4,Surfing,06:15 AM,Not Specified
2019,February,2,Fishing,Not Specified,Not Specified
2019,February,2,Spearfishing,10:00 AM,Bull Shark
2019,January,30,Fishing,09:15 AM,Not Specified
2019,January,29,Boogie boarding,Not Specified,Not Specified
2019,January,14,Swimming,11:30 AM,Wobbegong Shark
2019,January,10,Wading,09:30 AM,Not Specified
2019,January,8,Surfing,10:00 AM,White Shark
2018,December,18,Diving,11:00 AM,Tiger Shark
2018,December,15,Not Specified,11:00 AM,Wobbegong Shark
2018,December,15,Spearfishing,11:20 AM,Mako Shark
2018,December,9,Spearfishing,08:00 AM,Bronze Whaler Shark
2018,December,9,Surfing,07:15 AM,Not Specified
2018,November,28,Surfing,06:30 PM,Wobbegong Shark
2018,November,24,Surfing,05:00 PM,Not Specified
2018,November,18,Spearfishing,Not Specified,Not Specified
2018,November,17,Surfing,01:00 PM,Not Specified
2018,November,14,Kayaking,06:50 AM,Tiger Shark
2018,November,11,Fishing,Not Specified,White Shark
2018,November,11,Body Boarding,08:40 AM,Tiger Shark
2018,November,9,Swimming,01:30 PM,Nurse Shark
2018,November,7,Surfing,06:45 AM,Not Specified
2018,November,5,Swimming,05:30 PM,Not Specified
2018,November,3,Scuba diving,Not Specified,Oceanic Whitetip Shark
2018,October,24,Surfing,09:00 AM,Not Specified
2018,October,23,Surfing,Not Specified,Not Specified
2018,October,23,Surfing,Not Specified,Not Specified
2018,October,23,Diving / Filming,Not Specified,White Shark
2018,October,19,Body Surfing,07:00 AM,Bull Shark
2018,October,19,Surfing,06:00 PM,White Shark
2018,October,13,Spearfishing,12:00 PM,White Shark
2018,October,11,Surfing,Not Specified,Spinner Shark
2018,October,8,Fishing,Not Specified,Not Specified
2018,September,29,Diving,06:55 AM,White Shark
2018,September,28,Not Specified,Not Specified,Bull Shark
2018,September,27,Fishing,03:00 PM,White Shark
2018,September,23,Diving,03:00 PM,Nurse Shark
2018,September,23,Spearfishing,01:42 PM,Blacktip Shark
2018,September,20,Not Specified,12:00 PM,Not Specified
2018,September,19,Spearfishing,Not Specified,Not Specified
2018,September,20,Swimming,01:45 PM,Not Specified
2018,September,19,Swimming,05:00 PM,Not Specified
2018,September,15,Boogie boarding,12:00 PM,White Shark
2018,September,8,Surfing,01:15 PM,Not Specified
2018,September,8,Stand-Up Paddleboarding,08:30 AM,Tiger Shark
2018,September,7,Surfing,09:29 AM,Not Specified
2018,September,1,Fishing,06:00 PM,Blue Shark
2018,August,24,Swimming,08:00 PM,Not Specified
2018,August,20,Spearfishing,Not Specified,Not Specified
2018,August,18,Surfing,10:47 AM,Not Specified
2018,August,18,Playing,Not Specified,Not Specified
2018,August,15,Standing,08:30 AM,Nurse Shark
2018,August,15,Not Specified,Not Specified,Not Specified
2018,August,15,Swimming,04:00 PM,White Shark
2018,August,9,Spearfishing,10:00 AM,Bull Shark
2018,August,5,Standing,Not Specified,Blacktip Shark
2018,August,5,Swimming/Standing,10:30 AM,Not Specified
2018,August,3,Snorkeling,03:00 PM,Tiger Shark
2018,July,29,Surfing,Not Specified,Not Specified
2018,July,24,Putting hand in shark tank,Not Specified,Not Specified
2018,July,18,Boogie Boarding,12:00 PM,Tiger Shark
2018,July,18,Wading,11:15 AM,Tiger Shark
2018,July,15,Fishing,Not Specified,Not Specified
2018,July,14,Wading,02:11 PM,Not Specified
2018,July,14,Surfing,01:30 PM,Not Specified
2018,July,13,Wading,03:40 PM,Not Specified
2018,July,13,Surfing,03:35 PM,Not Specified
2018,July,11,Surfing,11:30 AM,Not Specified
2018,July,7,Snorkeling,01:30 PM,Not Specified
2018,July,2,Boogie boarding,02:40 PM,Not Specified
2018,June,25,Paddling,06:00 PM,White Shark
2018,June,18,Fishing,Not Specified,Nurse Shark
2018,June,18,Standing,Not Specified,Not Specified
2018,June,9,Surfing,07:45 AM,Not Specified
2018,June,8,Surfing,Not Specified,Not Specified
2018,June,4,Free diving,Not Specified,Tiger Shark
2018,June,3,Kite surfing,Not Specified,Not Specified
